ticker,date,dividend
HGLG11.SA,2017-11-01 00:00:00-02:00,0.854361
HGLG11.SA,2017-12-01 00:00:00-02:00,0.854361
HGLG11.SA,2022-04-01 00:00:00-03:00,1.080226
HGLG11.SA,2022-05-02 00:00:00-03:00,1.08619
HGLG11.SA,2022-06-01 00:00:00-03:00,1.08619
HGLG11.SA,2022-07-01 00:00:00-03:00,3.25857
HGLG11.SA,2022-08-01 00:00:00-03:00,1.08619
HGLG11.SA,2022-09-01 00:00:00-03:00,1.08619
HGLG11.SA,2022-10-03 00:00:00-03:00,1.08619
HGLG11.SA,2022-11-01 00:00:00-03:00,1.08619
HGLG11.SA,2022-12-01 00:00:00-03:00,1.08619
HGLG11.SA,2023-01-02 00:00:00-03:00,2.17238
HGLG11.SA,2023-02-01 00:00:00-03:00,1.08619
HGLG11.SA,2023-03-01 00:00:00-03:00,1.08619
HGLG11.SA,2023-04-03 00:00:00-03:00,1.08619
HGLG11.SA,2023-05-02 00:00:00-03:00,1.08619
HGLG11.SA,2023-06-01 00:00:00-03:00,1.1
HGLG11.SA,2023-07-03 00:00:00-03:00,1.5
HGLG11.SA,2023-08-01 00:00:00-03:00,1.1
HGLG11.SA,2023-09-01 00:00:00-03:00,1.1
HGLG11.SA,2023-10-02 00:00:00-03:00,1.1
HGLG11.SA,2023-11-01 00:00:00-03:00,1.1
HGLG11.SA,2023-12-01 00:00:00-03:00,1.1
HGLG11.SA,2024-01-02 00:00:00-03:00,1.1
HGLG11.SA,2024-02-01 00:00:00-03:00,1.1
HGLG11.SA,2024-03-01 00:00:00-03:00,1.1
HGLG11.SA,2024-04-01 00:00:00-03:00,1.1
HGLG11.SA,2024-05-02 00:00:00-03:00,1.1
HGLG11.SA,2024-06-03 00:00:00-03:00,1.1
HGLG11.SA,2024-07-01 00:00:00-03:00,1.1
HGLG11.SA,2024-08-01 00:00:00-03:00,1.1
HGLG11.SA,2024-09-02 00:00:00-03:00,1.1
HGLG11.SA,2024-10-01 00:00:00-03:00,1.1
HGLG11.SA,2024-11-01 00:00:00-03:00,1.1
HGLG11.SA,2024-12-02 00:00:00-03:00,1.1
HGLG11.SA,2025-01-02 00:00:00-03:00,1.1
HGLG11.SA,2025-02-03 00:00:00-03:00,1.1
HGLG11.SA,2025-03-05 00:00:00-03:00,1.1
HGLG11.SA,2025-04-01 00:00:00-03:00,1.1
HGLG11.SA,2025-05-02 00:00:00-03:00,1.1
HGLG11.SA,2025-06-02 00:00:00-03:00,1.1
HGLG11.SA,2025-07-01 00:00:00-03:00,1.1
HGLG11.SA,2025-08-01 00:00:00-03:00,1.1
HGLG11.SA,2025-09-01 00:00:00-03:00,1.1
HGLG11.SA,2025-10-01 00:00:00-03:00,1.1
HGLG11.SA,2025-11-03 00:00:00-03:00,1.1
HGLG11.SA,2025-12-01 00:00:00-03:00,1.1
HGLG11.SA,2026-01-02 00:00:00-03:00,1.1
HGLG11.SA,2026-02-02 00:00:00-03:00,1.1
HGLG11.SA,2026-03-02 00:00:00-03:00,1.1
